episode,reward,steps,key,door,goal
849,0.54,26,1,1,1
850,0.3,35,1,1,1
851,0.82,17,1,1,1
852,0.56,26,1,1,1
853,0.88,15,1,1,1
854,0.82,14,1,1,1
855,1.04,7,1,1,1
856,0.46,30,1,1,1
857,0.4,34,1,1,1
858,0.48,30,1,1,1
859,0.88,14,1,1,1
860,0.5,32,1,1,1
861,1.0,9,1,1,1
862,0.68,21,1,1,1
863,0.64,23,1,1,1
864,0.44,30,1,1,1
865,0.72,21,1,1,1
866,0.56,27,1,1,1
867,0.94,11,1,1,1
868,0.12,44,1,1,1
869,0.52,23,1,1,1
870,0.82,15,1,1,1
871,0.96,9,1,1,1
872,0.74,20,1,1,1
873,0.76,18,1,1,1
874,0.4,30,1,1,1
875,0.34,39,1,1,1
876,0.68,22,1,1,1
877,0.58,25,1,1,1
878,-0.28,50,1,1,0
879,0.78,16,1,1,1
880,0.76,20,1,1,1
881,0.84,15,1,1,1
882,0.8,17,1,1,1
883,0.38,33,1,1,1
884,0.72,18,1,1,1
885,0.72,18,1,1,1
886,0.5,30,1,1,1
887,0.94,10,1,1,1
888,0.66,24,1,1,1
889,0.64,22,1,1,1
890,0.98,10,1,1,1
891,0.7,20,1,1,1
892,0.96,10,1,1,1
893,0.56,27,1,1,1
894,0.94,11,1,1,1
895,0.94,11,1,1,1
896,0.72,18,1,1,1
897,0.7,21,1,1,1
898,1.02,8,1,1,1
899,0.46,32,1,1,1
900,-0.28,50,1,1,0
901,0.6,26,1,1,1
902,0.68,23,1,1,1
903,0.72,20,1,1,1
904,0.86,14,1,1,1
905,0.3,37,1,1,1
906,0.84,15,1,1,1
907,-0.16,50,1,0,0
908,0.82,16,1,1,1
909,0.16,47,1,1,1
910,0.84,14,1,1,1
911,1.0,9,1,1,1
912,0.86,15,1,1,1
913,0.8,18,1,1,1
914,0.28,40,1,1,1
915,0.46,30,1,1,1
916,0.98,10,1,1,1
917,0.62,24,1,1,1
918,0.76,19,1,1,1
919,0.82,15,1,1,1
920,0.8,17,1,1,1
921,0.86,14,1,1,1
922,0.62,27,1,1,1
923,0.96,10,1,1,1
924,1.0,8,1,1,1
925,-0.28,50,1,1,0
926,-0.16,50,1,1,0
927,0.64,23,1,1,1
928,1.0,9,1,1,1
929,0.44,28,1,1,1
930,0.94,12,1,1,1
931,0.64,24,1,1,1
932,0.7,20,1,1,1
933,0.82,16,1,1,1
934,0.4,34,1,1,1
935,0.94,10,1,1,1
936,0.66,21,1,1,1
937,-0.32,50,1,0,0
938,0.96,10,1,1,1
939,0.78,19,1,1,1
940,0.54,25,1,1,1
941,0.88,12,1,1,1
942,0.9,12,1,1,1
943,0.82,16,1,1,1
944,0.38,36,1,1,1
945,0.8,17,1,1,1
946,1.0,9,1,1,1
947,0.76,16,1,1,1
948,0.16,47,1,1,1
949,0.96,11,1,1,1
950,0.94,11,1,1,1
951,-0.18,50,1,1,0
952,0.96,9,1,1,1
953,0.84,17,1,1,1
954,0.6,23,1,1,1
955,0.54,28,1,1,1
956,0.46,29,1,1,1
957,1.0,9,1,1,1
958,0.88,13,1,1,1
959,0.22,43,1,1,1
960,0.9,12,1,1,1
961,0.78,18,1,1,1
962,1.0,8,1,1,1
963,0.68,24,1,1,1
964,0.66,21,1,1,1
965,0.3,39,1,1,1
966,0.78,16,1,1,1
967,0.8,17,1,1,1
968,0.78,16,1,1,1
969,0.32,33,1,1,1
970,0.4,35,1,1,1
971,0.74,22,1,1,1
972,0.82,17,1,1,1
973,0.98,10,1,1,1
974,0.38,35,1,1,1
975,0.68,21,1,1,1
976,0.96,10,1,1,1
977,0.78,17,1,1,1
978,0.02,47,1,1,1
979,0.76,17,1,1,1
980,0.68,21,1,1,1
981,0.84,14,1,1,1
982,0.84,14,1,1,1
983,0.8,14,1,1,1
984,0.3,37,1,1,1
985,-0.26,50,1,1,0
